,#,Source,neg,neu,pos,compound,created_at,Tweets ago
496,99,@CBS,0.064,0.936,0.0,-0.0572,2018-08-05 22:53:12+00:00,99
491,98,@CBS,0.0,1.0,0.0,0.0,2018-08-05 22:58:36+00:00,98
486,97,@CBS,0.083,0.917,0.0,-0.2057,2018-08-05 22:58:41+00:00,97
481,96,@CBS,0.0,0.853,0.147,0.3802,2018-08-05 23:01:25+00:00,96
476,95,@CBS,0.0,0.775,0.225,0.6041,2018-08-05 23:05:58+00:00,95
471,94,@CBS,0.0,1.0,0.0,0.0,2018-08-05 23:10:20+00:00,94
466,93,@CBS,0.202,0.798,0.0,-0.5093,2018-08-05 23:12:39+00:00,93
461,92,@CBS,0.0,0.827,0.173,0.5826,2018-08-05 23:16:25+00:00,92
456,91,@CBS,0.0,1.0,0.0,0.0,2018-08-05 23:35:46+00:00,91
451,90,@CBS,0.0,0.843,0.157,0.5994,2018-08-05 23:35:49+00:00,90
446,89,@CBS,0.0,1.0,0.0,0.0,2018-08-05 23:41:21+00:00,89
441,88,@CBS,0.0,0.694,0.306,0.8316,2018-08-05 23:44:39+00:00,88
436,87,@CBS,0.0,1.0,0.0,0.0,2018-08-05 23:58:41+00:00,87
431,86,@CBS,0.0,0.859,0.141,0.5093,2018-08-06 00:02:02+00:00,86
426,85,@CBS,0.0,0.894,0.106,0.3818,2018-08-06 00:02:58+00:00,85
421,84,@CBS,0.082,0.617,0.3,0.7424,2018-08-06 00:07:38+00:00,84
416,83,@CBS,0.0,0.889,0.111,0.3612,2018-08-06 00:20:55+00:00,83
411,82,@CBS,0.0,1.0,0.0,0.0,2018-08-07 16:06:57+00:00,82
406,81,@CBS,0.0,0.791,0.209,0.6696,2018-08-08 16:05:11+00:00,81
401,80,@CBS,0.0,0.759,0.241,0.7901,2018-08-09 18:47:00+00:00,80
396,79,@CBS,0.0,0.806,0.194,0.6696,2018-08-09 21:00:00+00:00,79
391,78,@CBS,0.0,1.0,0.0,0.0,2018-08-10 19:59:14+00:00,78
386,77,@CBS,0.0,0.71,0.29,0.9051,2018-08-10 22:28:55+00:00,77
381,76,@CBS,0.0,0.744,0.256,0.8034,2018-08-11 15:00:02+00:00,76
376,75,@CBS,0.082,0.918,0.0,-0.3802,2018-08-11 18:00:00+00:00,75
371,74,@CBS,0.0,0.769,0.231,0.7861,2018-08-12 15:04:59+00:00,74
366,73,@CBS,0.0,1.0,0.0,0.0,2018-08-12 23:30:02+00:00,73
361,72,@CBS,0.188,0.72,0.092,-0.5267,2018-08-16 00:09:03+00:00,72
356,71,@CBS,0.0,1.0,0.0,0.0,2018-08-16 18:40:09+00:00,71
351,70,@CBS,0.0,0.887,0.113,0.3182,2018-08-17 17:42:02+00:00,70
346,69,@CBS,0.0,0.801,0.199,0.7351,2018-08-20 21:59:56+00:00,69
341,68,@CBS,0.0,1.0,0.0,0.0,2018-08-22 20:10:12+00:00,68
336,67,@CBS,0.0,1.0,0.0,0.0,2018-08-22 20:55:25+00:00,67
331,66,@CBS,0.112,0.888,0.0,-0.4389,2018-08-24 20:30:16+00:00,66
326,65,@CBS,0.0,0.9,0.1,0.4588,2018-08-27 23:36:57+00:00,65
321,64,@CBS,0.0,0.83,0.17,0.6239,2018-08-30 15:32:47+00:00,64
316,63,@CBS,0.239,0.761,0.0,-0.6908,2018-08-30 19:45:51+00:00,63
311,62,@CBS,0.0,1.0,0.0,0.0,2018-08-31 18:01:01+00:00,62
306,61,@CBS,0.0,1.0,0.0,0.0,2018-08-31 21:26:49+00:00,61
301,60,@CBS,0.0,0.829,0.171,0.6514,2018-09-01 15:25:34+00:00,60
296,59,@CBS,0.0,0.866,0.134,0.4753,2018-09-04 20:34:26+00:00,59
291,58,@CBS,0.0,0.467,0.533,0.6908,2018-09-05 16:48:09+00:00,58
286,57,@CBS,0.0,0.909,0.091,0.3612,2018-09-05 17:32:40+00:00,57
281,56,@CBS,0.0,1.0,0.0,0.0,2018-09-05 21:00:00+00:00,56
276,55,@CBS,0.0,0.808,0.192,0.4753,2018-09-06 19:00:01+00:00,55
