Tweets ago,@BBC,@CBS,@CNN,@FoxNews,@nytimes
0,0.5267,0.2263,0.6195,0.0,0.0
1,0.6633,0.8176,-0.1779,-0.6124,0.0
2,0.875,-0.7269,0.3612,-0.7783,-0.3983
3,0.9149,0.2023,0.4019,0.7906,0.4404
4,-0.7574,0.0,-0.1872,-0.8658,0.4588
5,0.1531,0.7712,0.0,-0.6597,0.0
6,0.0,0.1333,0.0,-0.34,0.25
7,0.6369,0.5423,-0.1531,0.0,0.4754
8,0.5106,0.0,-0.5106,-0.34,0.8126
9,0.34,0.3182,0.3818,-0.34,0.2023
10,0.0,0.9081,0.8225,0.0258,-0.1245
11,0.5719,0.3612,0.5256,-0.6486,-0.7579
12,0.7096,0.6249,0.0,-0.6486,0.5859
13,0.25,0.7906,-0.6242,-0.34,0.4215
14,0.0,0.0,0.7783,-0.6486,-0.4939
15,0.1134,0.7579,0.8319,-0.6486,0.6369
16,-0.1027,0.5994,-0.0516,-0.6486,0.0
17,0.4404,0.6369,-0.1027,0.0,0.4215
18,-0.296,0.4404,-0.5994,0.0,-0.7783
19,-0.4003,0.3182,0.6195,-0.1511,-0.2732
20,0.5413,0.5622,0.8979,0.4767,0.2023
21,0.743,0.9099,0.4576,-0.6486,0.0
22,0.0,0.9337,0.3182,-0.6486,-0.296
23,0.5423,0.6003,-0.0516,-0.3182,-0.802
24,0.8271,0.5719,-0.7783,0.0,0.4019
25,0.2732,0.8102,0.0,-0.4939,-0.7351
26,-0.3612,0.5719,-0.6705,-0.5267,-0.4019
27,-0.1531,0.5423,0.4939,0.228,-0.8779
28,0.0,0.908,0.4215,0.4939,0.2023
29,0.7717,0.4753,-0.1779,0.0,-0.169
30,0.6908,-0.1511,0.0,0.0,-0.6705
31,-0.34,0.7506,-0.4019,0.0,0.0
32,0.3818,0.4019,0.0516,-0.0018,0.0
33,-0.743,0.0,0.3612,-0.4404,0.0
34,0.5095,0.9001,0.0,-0.4939,-0.5849
35,0.8591,0.0,0.0,0.0,0.6369
36,0.0,0.2263,0.0,0.4939,0.6249
37,0.0,0.9022,0.5256,0.2732,-0.8979
38,0.5719,0.8689,0.4019,0.2263,-0.296
39,0.2263,0.8619,-0.1872,0.4939,-0.6808
40,0.296,0.0,-0.1531,0.2263,-0.7845
41,0.0,0.6369,-0.5106,-0.7351,-0.6124
42,0.1531,0.4019,-0.5859,-0.4215,-0.7684
43,0.0,0.5622,-0.8957,0.8834,0.0
44,-0.4939,0.4247,-0.91,0.4404,-0.5719
45,0.8313,0.0,-0.7003,-0.4767,-0.296
46,0.3818,0.7406,-0.5106,0.4767,-0.3612
47,0.0,0.3182,-0.0516,0.0,0.0
48,0.0,0.0,-0.8934,-0.1144,0.0
49,0.0,-0.4086,-0.1779,-0.5423,-0.6187
50,0.34,0.0,0.0,0.0,0.0
51,0.5859,0.0,-0.296,-0.0018,-0.6705
52,0.0,-0.2244,-0.4215,-0.34,0.1531
53,0.0,0.9642,0.4215,0.3612,-0.3612
54,0.0,0.0,0.0,-0.5719,0.4019
55,0.5859,0.7783,0.4588,0.3182,0.1027
56,0.9022,0.7845,-0.4767,0.0,0.4646
57,0.782,0.6124,0.0,0.0,-0.7964
58,0.6369,0.0,0.4754,0.6841,-0.7717
59,0.5221,0.8398,-0.5994,0.0,0.0
60,-0.5859,0.9223,-0.5106,0.0,-0.6486
61,0.1655,0.0,-0.6757,-0.1779,-0.296
62,0.0,-0.2263,-0.0516,-0.2263,-0.2057
63,0.0,0.0,0.0,0.4939,0.0
64,0.0,0.0,0.7906,0.0,0.0
65,0.0,0.3818,0.4215,-0.1531,0.2023
66,0.8123,0.296,-0.5106,-0.296,0.8971
67,-0.2023,0.5622,0.4404,-0.4939,0.4754
68,0.0,0.0,-0.1531,-0.5574,-0.3612
69,0.4588,0.0,0.4576,0.2732,-0.296
70,0.6375,0.7494,0.0,0.0,0.0
71,0.0,0.6369,-0.1027,-0.296,0.0
72,0.5719,0.6369,0.4767,-0.2023,0.0
73,0.0,0.743,0.6195,0.5106,0.3818
74,0.3818,0.8658,0.6369,0.0,0.0
75,0.836,0.6369,-0.1531,0.0,0.5198
76,0.2732,0.5707,-0.0516,0.0,0.0
77,-0.2263,-0.4795,-0.6901,0.4939,0.7783
78,0.0,0.0516,0.3182,-0.0772,0.5859
79,0.0,-0.6705,-0.296,-0.4215,0.0
80,-0.5574,-0.2023,-0.3612,0.0,-0.4767
81,0.6486,0.4199,0.0,-0.4588,0.6887
82,0.8555,0.0,0.4215,0.0772,0.765
83,-0.8687,0.1655,0.3612,0.6833,0.0
84,0.0,0.0,0.0,0.0,0.1779
85,0.3818,0.0,0.0,-0.4404,0.3382
86,-0.2057,0.296,0.0,0.0,0.4588
87,-0.5994,0.0,0.34,0.0772,0.0
88,0.0,0.0,0.0,0.8834,0.0
89,0.3164,0.3612,0.0,0.5106,0.0
90,0.25,0.7213,-0.6242,0.3818,0.296
91,0.7964,0.0,0.5256,-0.6597,0.7783
92,-0.4753,0.8834,0.5256,-0.1027,-0.2732
93,0.7096,0.3612,0.0,0.0,-0.2716
94,0.0,0.5859,0.7783,-0.2732,0.0
95,0.4939,0.4019,0.4767,-0.4767,0.6705
96,0.5399,0.4199,-0.5574,-0.4767,-0.7964
97,0.0,0.0,0.0,0.0,-0.2732
98,0.4019,0.8852,-0.128,0.1027,0.0
99,-0.0516,0.0,-0.7906,0.0,-0.3983
